n,t,seed,Δ_method_1,Δ_method_1_t_0,Δ_method_1_t_1,Δ_method_2,Δ_method_2_t_0,Δ_method_2_t_1
1.6777216e7,1.6777216e7,101.0,0.06764644384384155,0.702374279499054,0.7700207233428955,0.005657851696014404,0.7158668041229248,0.7215246558189392
1.6777216e7,1.6777216e7,102.0,0.06459182500839233,0.7054264545440674,0.7700182795524597,0.005293011665344238,0.7159421443939209,0.7212351560592651
1.6777216e7,1.6777216e7,103.0,0.06641417741775513,0.7038795948028564,0.7702937722206116,0.005568385124206543,0.7156610488891602,0.7212294340133667
1.6777216e7,1.6777216e7,104.0,0.06487643718719482,0.7052372694015503,0.7701137065887451,0.004719913005828857,0.7163860201835632,0.7211059331893921
1.6777216e7,1.6777216e7,105.0,0.06736963987350464,0.7028098106384277,0.7701794505119324,0.004272758960723877,0.7170268297195435,0.7212995886802673
1.6777216e7,1.6777216e7,106.0,0.07679194211959839,0.6933718919754028,0.7701638340950012,0.003976225852966309,0.7169013619422913,0.7208775877952576
1.6777216e7,1.6777216e7,107.0,0.06688624620437622,0.7033059597015381,0.7701922059059143,0.005803585052490234,0.7151151895523071,0.7209187746047974
1.6777216e7,1.6777216e7,108.0,0.06538653373718262,0.7043209075927734,0.769707441329956,0.005508482456207275,0.7155570983886719,0.7210655808448792
1.6777216e7,1.6777216e7,109.0,0.06875723600387573,0.7006685137748718,0.7694257497787476,0.004579007625579834,0.7168837189674377,0.7214627265930176
1.6777216e7,1.6777216e7,110.0,0.06593537330627441,0.7042271494865417,0.7701625227928162,0.004740595817565918,0.7166154384613037,0.7213560342788696
1.6777216e7,1.6777216e7,111.0,0.06440728902816772,0.7055292725563049,0.7699365615844727,0.004836559295654297,0.7166333794593811,0.7214699387550354
1.6777216e7,1.6777216e7,112.0,0.06444305181503296,0.7058179378509521,0.7702609896659851,0.005581855773925781,0.715457558631897,0.7210394144058228
1.6777216e7,1.6777216e7,113.0,0.06455159187316895,0.7055954933166504,0.7701470851898193,0.004137933254241943,0.7170940041542053,0.7212319374084473
1.6777216e7,1.6777216e7,114.0,0.06548386812210083,0.70423823595047,0.7697221040725708,0.0055658817291259766,0.7153728604316711,0.7209387421607971
1.6777216e7,1.6777216e7,115.0,0.06548124551773071,0.7042679190635681,0.7697491645812988,0.0059165358543396,0.7151583433151245,0.7210748791694641
1.6777216e7,1.6777216e7,116.0,0.06625854969024658,0.7038118839263916,0.7700704336166382,0.005427539348602295,0.715595543384552,0.7210230827331543
1.6777216e7,1.6777216e7,117.0,0.0646091103553772,0.7053952813148499,0.770004391670227,0.004070758819580078,0.7172884345054626,0.7213591933250427
1.6777216e7,1.6777216e7,118.0,0.06783902645111084,0.7017799615859985,0.7696189880371094,0.0057656168937683105,0.7162818908691406,0.7220475077629089
1.6777216e7,1.6777216e7,119.0,0.06880348920822144,0.7008512020111084,0.7696546912193298,0.004460752010345459,0.7170177102088928,0.7214784622192383
1.6777216e7,1.6777216e7,120.0,0.06775683164596558,0.7023444175720215,0.7701012492179871,0.004598438739776611,0.7163141369819641,0.7209125757217407
1.6777216e7,1.6777216e7,121.0,0.06743496656417847,0.7026929259300232,0.7701278924942017,0.004738807678222656,0.7167902588844299,0.7215290665626526
1.6777216e7,1.6777216e7,122.0,0.06542867422103882,0.7043060064315796,0.7697346806526184,0.004313528537750244,0.716378927230835,0.7206924557685852
1.6777216e7,1.6777216e7,123.0,0.06325745582580566,0.7063729763031006,0.7696304321289062,0.004870772361755371,0.716331958770752,0.7212027311325073
1.6777216e7,1.6777216e7,124.0,0.065315842628479,0.7048677802085876,0.7701836228370667,0.0051230788230896,0.7165490984916687,0.7216721773147583
1.6777216e7,1.6777216e7,125.0,0.06466585397720337,0.7053834795951843,0.7700493335723877,0.00540614128112793,0.715953528881073,0.7213596701622009
1.6777216e7,1.6777216e7,126.0,0.06427937746047974,0.7056052088737488,0.7698845863342285,0.00532686710357666,0.7156881093978882,0.7210149765014648
1.6777216e7,1.6777216e7,127.0,0.06475096940994263,0.705207109451294,0.7699580788612366,0.003984391689300537,0.7170245051383972,0.7210088968276978
1.6777216e7,1.6777216e7,128.0,0.06563431024551392,0.7042300701141357,0.7698643803596497,0.005922973155975342,0.7156616449356079,0.7215846180915833
1.6777216e7,1.6777216e7,129.0,0.06897217035293579,0.701259970664978,0.7702321410179138,0.006196737289428711,0.7148975729942322,0.7210943102836609
1.6777216e7,1.6777216e7,130.0,0.06751036643981934,0.702325701713562,0.7698360681533813,0.0058400630950927734,0.7160397171974182,0.721879780292511
1.6777216e7,1.6777216e7,131.0,0.07058346271514893,0.6995558142662048,0.7701392769813538,0.005863010883331299,0.7156279683113098,0.7214909791946411
1.6777216e7,1.6777216e7,132.0,0.06350499391555786,0.7068886160850525,0.7703936100006104,0.005358695983886719,0.7160040140151978,0.7213627099990845
1.6777216e7,1.6777216e7,133.0,0.0668020248413086,0.7033557891845703,0.7701578140258789,0.0047040581703186035,0.717131495475769,0.7218355536460876
1.6777216e7,1.6777216e7,134.0,0.06303566694259644,0.7067323327064514,0.7697679996490479,0.00464397668838501,0.7162293195724487,0.7208732962608337
1.6777216e7,1.6777216e7,135.0,0.06322920322418213,0.7065189480781555,0.7697481513023376,0.0041773319244384766,0.7168588638305664,0.7210361957550049
1.6777216e7,1.6777216e7,136.0,0.06568306684494019,0.7042774558067322,0.7699605226516724,0.005697906017303467,0.7158485054969788,0.7215464115142822
1.6777216e7,1.6777216e7,137.0,0.06414526700973511,0.7057052254676819,0.769850492477417,0.0057212114334106445,0.7158623933792114,0.7215836048126221
1.6777216e7,1.6777216e7,138.0,0.06779360771179199,0.7023070454597473,0.7701006531715393,0.005317747592926025,0.7161144018173218,0.7214321494102478
1.6777216e7,1.6777216e7,139.0,0.06746304035186768,0.702618420124054,0.7700814604759216,0.004607021808624268,0.7164214253425598,0.7210284471511841
1.6777216e7,1.6777216e7,140.0,0.06679010391235352,0.7030445337295532,0.7698346376419067,0.004969537258148193,0.7162690162658691,0.7212385535240173
1.6777216e7,1.6777216e7,141.0,0.06728053092956543,0.7024371027946472,0.7697176337242126,0.004842162132263184,0.7165343165397644,0.7213764786720276
1.6777216e7,1.6777216e7,142.0,0.06438028812408447,0.7052401900291443,0.7696204781532288,0.004477798938751221,0.7158840298652649,0.7203618288040161
1.6777216e7,1.6777216e7,143.0,0.06772065162658691,0.7026000022888184,0.7703206539154053,0.00529104471206665,0.716163158416748,0.7214542031288147
1.6777216e7,1.6777216e7,144.0,0.06679415702819824,0.7033701539039612,0.7701643109321594,0.006034195423126221,0.7154085636138916,0.7214427590370178
1.6777216e7,1.6777216e7,145.0,0.06544101238250732,0.7044770121574402,0.7699180245399475,0.004299938678741455,0.7161045670509338,0.7204045057296753
1.6777216e7,1.6777216e7,146.0,0.069629967212677,0.7003470659255981,0.7699770331382751,0.005074203014373779,0.7154920697212219,0.7205662727355957
1.6777216e7,1.6777216e7,147.0,0.06502825021743774,0.7047519087791443,0.769780158996582,0.005678772926330566,0.7153134942054749,0.7209922671318054
1.6777216e7,1.6777216e7,148.0,0.0650707483291626,0.7047282457351685,0.769798994064331,0.005204975605010986,0.7159903049468994,0.7211952805519104
1.6777216e7,1.6777216e7,149.0,0.06450891494750977,0.7052255272865295,0.7697344422340393,0.004305005073547363,0.7169950008392334,0.7213000059127808
1.6777216e7,1.6777216e7,150.0,0.06554079055786133,0.7042579650878906,0.769798755645752,0.005208313465118408,0.7159243822097778,0.7211326956748962
1.6777216e7,1.6777216e7,151.0,0.06831091642379761,0.7016443610191345,0.7699552774429321,0.0043985843658447266,0.7165824770927429,0.7209810614585876
1.6777216e7,1.6777216e7,152.0,0.06853652000427246,0.7011308073997498,0.7696673274040222,0.0053214430809021,0.7165675759315491,0.7218890190124512
1.6777216e7,1.6777216e7,153.0,0.06837356090545654,0.7016870975494385,0.770060658454895,0.004064500331878662,0.7167954444885254,0.720859944820404
1.6777216e7,1.6777216e7,154.0,0.06605023145675659,0.7036344408988953,0.7696846723556519,0.004593014717102051,0.7156654000282288,0.7202584147453308
1.6777216e7,1.6777216e7,155.0,0.06587755680084229,0.7041256427764893,0.7700031995773315,0.0049166083335876465,0.7156224846839905,0.7205390930175781
1.6777216e7,1.6777216e7,156.0,0.0651693344116211,0.7047818899154663,0.7699512243270874,0.00415879487991333,0.7166356444358826,0.7207944393157959
1.6777216e7,1.6777216e7,157.0,0.06787359714508057,0.7020142674446106,0.7698878645896912,0.004926025867462158,0.7161924839019775,0.7211185097694397
1.6777216e7,1.6777216e7,158.0,0.06318014860153198,0.7062763571739197,0.7694565057754517,0.004846811294555664,0.7163752317428589,0.7212220430374146
1.6777216e7,1.6777216e7,159.0,0.06297421455383301,0.7072414755821228,0.7702156901359558,0.005616426467895508,0.7150323390960693,0.7206487655639648
1.6777216e7,1.6777216e7,160.0,0.06458574533462524,0.7049946784973145,0.7695804238319397,0.004154384136199951,0.7173722982406616,0.7215266823768616
1.6777216e7,1.6777216e7,161.0,0.067294180393219,0.7026071548461914,0.7699013352394104,0.004743039608001709,0.7172884941101074,0.7220315337181091
1.6777216e7,1.6777216e7,162.0,0.0628652572631836,0.7071934938430786,0.7700587511062622,0.004937708377838135,0.7157270312309265,0.7206647396087646
1.6777216e7,1.6777216e7,163.0,0.06286746263504028,0.7070460319519043,0.7699134945869446,0.004729032516479492,0.7159819006919861,0.7207109332084656
1.6777216e7,1.6777216e7,164.0,0.06882494688034058,0.7009751796722412,0.7698001265525818,0.005387008190155029,0.7157718539237976,0.7211588621139526
1.6777216e7,1.6777216e7,165.0,0.06694638729095459,0.7030737400054932,0.7700201272964478,0.004624843597412109,0.7171511054039001,0.7217759490013123
1.6777216e7,1.6777216e7,166.0,0.06532812118530273,0.7046197056770325,0.7699478268623352,0.004730939865112305,0.7162106037139893,0.7209415435791016
1.6777216e7,1.6777216e7,167.0,0.06559956073760986,0.7041089534759521,0.769708514213562,0.005135655403137207,0.7159565687179565,0.7210922241210938
1.6777216e7,1.6777216e7,168.0,0.06691718101501465,0.7030225396156311,0.7699397206306458,0.005290210247039795,0.716266393661499,0.7215566039085388
1.6777216e7,1.6777216e7,169.0,0.06404387950897217,0.705716609954834,0.7697604894638062,0.0052016377449035645,0.7157341837882996,0.7209358215332031
1.6777216e7,1.6777216e7,170.0,0.06402111053466797,0.705652117729187,0.769673228263855,0.0044866204261779785,0.7163944840431213,0.7208811044692993
1.6777216e7,1.6777216e7,171.0,0.07012069225311279,0.699950635433197,0.7700713276863098,0.004345417022705078,0.7165355682373047,0.7208809852600098
1.6777216e7,1.6777216e7,172.0,0.06537818908691406,0.7047950029373169,0.770173192024231,0.004684865474700928,0.7160807251930237,0.7207655906677246
1.6777216e7,1.6777216e7,173.0,0.06525653600692749,0.7048810720443726,0.7701376080513,0.004675030708312988,0.7168068289756775,0.7214818596839905
1.6777216e7,1.6777216e7,174.0,0.0640716552734375,0.7058048248291016,0.7698764801025391,0.004983663558959961,0.7163020968437195,0.7212857604026794
1.6777216e7,1.6777216e7,175.0,0.06738024950027466,0.7024334073066711,0.7698136568069458,0.004582405090332031,0.7171996831893921,0.7217820882797241
1.6777216e7,1.6777216e7,176.0,0.06552207469940186,0.7045878171920776,0.7701098918914795,0.003935575485229492,0.7170650959014893,0.7210006713867188
1.6777216e7,1.6777216e7,177.0,0.06642299890518188,0.7034262418746948,0.7698492407798767,0.004739105701446533,0.7162360548973083,0.7209751605987549
