n,t,seed,Δ_method_1,Δ_method_1_t_0,Δ_method_1_t_1,Δ_method_2,Δ_method_2_t_0,Δ_method_2_t_1
1.6777216e7,1.6777216e7,501.0,0.06465154886245728,0.705385148525238,0.7700366973876953,0.005252182483673096,0.7161068320274353,0.7213590145111084
1.6777216e7,1.6777216e7,502.0,0.06728780269622803,0.7023352980613708,0.7696231007575989,0.004947185516357422,0.7158463597297668,0.7207935452461243
1.6777216e7,1.6777216e7,503.0,0.06341433525085449,0.7063948512077332,0.7698091864585876,0.006303668022155762,0.7152130007743835,0.7215166687965393
1.6777216e7,1.6777216e7,504.0,0.0641927719116211,0.7058963775634766,0.7700891494750977,0.005200743675231934,0.7165969610214233,0.7217977046966553
1.6777216e7,1.6777216e7,505.0,0.06687110662460327,0.7030075192451477,0.769878625869751,0.005353271961212158,0.7153595089912415,0.7207127809524536
1.6777216e7,1.6777216e7,506.0,0.06481826305389404,0.704991340637207,0.7698096036911011,0.004468739032745361,0.716512143611908,0.7209808826446533
1.6777216e7,1.6777216e7,507.0,0.0687679648399353,0.7012359499931335,0.7700039148330688,0.0040351152420043945,0.7171236872673035,0.7211588025093079
1.6777216e7,1.6777216e7,508.0,0.0675308108329773,0.7025828957557678,0.7701137065887451,0.005814731121063232,0.7156060934066772,0.7214208245277405
1.6777216e7,1.6777216e7,509.0,0.06504303216934204,0.7046740651130676,0.7697170972824097,0.0051195621490478516,0.7151179909706116,0.7202375531196594
1.6777216e7,1.6777216e7,510.0,0.06501096487045288,0.7051029801368713,0.7701139450073242,0.004898965358734131,0.7163418531417847,0.7212408185005188
1.6777216e7,1.6777216e7,511.0,0.0670466423034668,0.7026877999305725,0.7697344422340393,0.004746556282043457,0.7162725925445557,0.7210191488265991
1.6777216e7,1.6777216e7,512.0,0.06713026762008667,0.7029252052307129,0.7700554728507996,0.006248414516448975,0.7158218026161194,0.7220702171325684
1.6777216e7,1.6777216e7,513.0,0.0653771162033081,0.7043373584747314,0.7697144746780396,0.00483173131942749,0.7166192531585693,0.7214509844779968
1.6777216e7,1.6777216e7,514.0,0.06797146797180176,0.702233076095581,0.7702045440673828,0.005359053611755371,0.7159416675567627,0.7213007211685181
1.6777216e7,1.6777216e7,515.0,0.06652480363845825,0.7035666704177856,0.7700914740562439,0.004755795001983643,0.715865433216095,0.7206212282180786
1.6777216e7,1.6777216e7,516.0,0.06759929656982422,0.7021627426147461,0.7697620391845703,0.005892515182495117,0.7157840132713318,0.7216765284538269
1.6777216e7,1.6777216e7,517.0,0.06536400318145752,0.7044943571090698,0.7698583602905273,0.0052970051765441895,0.7160646319389343,0.7213616371154785
1.6777216e7,1.6777216e7,518.0,0.06530743837356567,0.7045522332191467,0.7698596715927124,0.0044438838958740234,0.7165769934654236,0.7210208773612976
1.6777216e7,1.6777216e7,519.0,0.06707829236984253,0.7030310034751892,0.7701092958450317,0.005813181400299072,0.7155383229255676,0.7213515043258667
1.6777216e7,1.6777216e7,520.0,0.06540185213088989,0.7047231793403625,0.7701250314712524,0.006456911563873291,0.7151300311088562,0.7215869426727295
