n,t,seed,Δ_method_1,Δ_method_1_t_0,Δ_method_1_t_1,Δ_method_2,Δ_method_2_t_0,Δ_method_2_t_1
1.6777216e7,1.6777216e7,301.0,0.06327515840530396,0.7063339352607727,0.7696090936660767,0.005056500434875488,0.7162103652954102,0.7212668657302856
1.6777216e7,1.6777216e7,302.0,0.06417310237884521,0.7060656547546387,0.7702387571334839,0.0045299530029296875,0.7165599465370178,0.7210898995399475
1.6777216e7,1.6777216e7,303.0,0.06934303045272827,0.7008041739463806,0.7701472043991089,0.004770219326019287,0.7160631418228149,0.7208333611488342
1.6777216e7,1.6777216e7,304.0,0.06466346979141235,0.7054474949836731,0.7701109647750854,0.005232691764831543,0.7150037884712219,0.7202364802360535
1.6777216e7,1.6777216e7,305.0,0.06475889682769775,0.705001711845398,0.7697606086730957,0.004889130592346191,0.7166102528572083,0.7214993834495544
1.6777216e7,1.6777216e7,306.0,0.06612288951873779,0.7038769721984863,0.7699998617172241,0.004062473773956299,0.7175635695457458,0.7216260433197021
1.6777216e7,1.6777216e7,307.0,0.06692993640899658,0.7031456232070923,0.7700755596160889,0.006389975547790527,0.7149696946144104,0.7213596701622009
1.6777216e7,1.6777216e7,308.0,0.06640666723251343,0.70368492603302,0.7700915932655334,0.004928171634674072,0.7160571813583374,0.7209853529930115
1.6777216e7,1.6777216e7,309.0,0.06285005807876587,0.7069757580757141,0.76982581615448,0.005569040775299072,0.715241551399231,0.72081059217453
1.6777216e7,1.6777216e7,310.0,0.06753981113433838,0.7025694847106934,0.7701092958450317,0.003852248191833496,0.7173491716384888,0.7212014198303223
1.6777216e7,1.6777216e7,311.0,0.06978505849838257,0.699957549571991,0.7697426080703735,0.004732966423034668,0.7164592742919922,0.7211922407150269
1.6777216e7,1.6777216e7,312.0,0.06634306907653809,0.7033408284187317,0.7696838974952698,0.005897164344787598,0.7151548862457275,0.7210520505905151
1.6777216e7,1.6777216e7,313.0,0.0663335919380188,0.7036288380622864,0.7699624300003052,0.004588425159454346,0.7166449427604675,0.7212333679199219
1.6777216e7,1.6777216e7,314.0,0.06370383501052856,0.706190288066864,0.7698941230773926,0.004366099834442139,0.716852605342865,0.7212187051773071
1.6777216e7,1.6777216e7,315.0,0.06505709886550903,0.7051642537117004,0.7702213525772095,0.005256772041320801,0.7159128189086914,0.7211695909500122
1.6777216e7,1.6777216e7,316.0,0.06565773487091064,0.7042054533958435,0.7698631882667542,0.004518568515777588,0.7162944078445435,0.720812976360321
1.6777216e7,1.6777216e7,317.0,0.06380558013916016,0.7058939933776855,0.7696995735168457,0.007284104824066162,0.714682936668396,0.7219670414924622
1.6777216e7,1.6777216e7,318.0,0.0701603889465332,0.6998786330223083,0.7700390219688416,0.004693806171417236,0.7169126868247986,0.7216064929962158
1.6777216e7,1.6777216e7,319.0,0.0721902847290039,0.697856068611145,0.7700463533401489,0.005346834659576416,0.71600741147995,0.7213542461395264
1.6777216e7,1.6777216e7,320.0,0.06543916463851929,0.7045236825942993,0.7699628472328186,0.005967676639556885,0.7152257561683655,0.7211934328079224
1.6777216e7,1.6777216e7,321.0,0.06733274459838867,0.7025201320648193,0.769852876663208,0.0049173831939697266,0.716396152973175,0.7213135361671448
1.6777216e7,1.6777216e7,322.0,0.06642407178878784,0.7035332918167114,0.7699573636054993,0.0037794113159179688,0.7171304821968079,0.7209098935127258
1.6777216e7,1.6777216e7,323.0,0.06641322374343872,0.7037979960441589,0.7702112197875977,0.005358457565307617,0.71546471118927,0.7208231687545776
1.6777216e7,1.6777216e7,324.0,0.06682175397872925,0.7030054330825806,0.7698271870613098,0.005163967609405518,0.7160352468490601,0.7211992144584656
1.6777216e7,1.6777216e7,325.0,0.06684285402297974,0.7032172679901123,0.770060122013092,0.004351556301116943,0.7166023254394531,0.7209538817405701
1.6777216e7,1.6777216e7,326.0,0.06536096334457397,0.704860508441925,0.770221471786499,0.004581093788146973,0.7161734104156494,0.7207545042037964
1.6777216e7,1.6777216e7,327.0,0.066417396068573,0.7035366892814636,0.7699540853500366,0.004268944263458252,0.716865599155426,0.7211345434188843
1.6777216e7,1.6777216e7,328.0,0.06625080108642578,0.7038682103157043,0.7701190114021301,0.004719078540802002,0.7163370251655579,0.7210561037063599
1.6777216e7,1.6777216e7,329.0,0.06896525621414185,0.7011933326721191,0.770158588886261,0.005396127700805664,0.71541827917099,0.7208144068717957
1.6777216e7,1.6777216e7,330.0,0.06614595651626587,0.7034812569618225,0.7696272134780884,0.0060291290283203125,0.7148641347885132,0.7208932638168335
1.6777216e7,1.6777216e7,331.0,0.06608057022094727,0.7037135362625122,0.7697941064834595,0.0062857866287231445,0.7150660157203674,0.7213518023490906
1.6777216e7,1.6777216e7,332.0,0.06570088863372803,0.7041035890579224,0.7698044776916504,0.003949105739593506,0.7172045111656189,0.7211536169052124
1.6777216e7,1.6777216e7,333.0,0.0651128888130188,0.7046992182731628,0.7698121070861816,0.00455087423324585,0.716650128364563,0.7212010025978088
1.6777216e7,1.6777216e7,334.0,0.06882691383361816,0.7009328603744507,0.7697597742080688,0.0058740973472595215,0.7148052453994751,0.7206793427467346
1.6777216e7,1.6777216e7,335.0,0.06427061557769775,0.7057278156280518,0.7699984312057495,0.005049765110015869,0.7162588834762573,0.7213086485862732
1.6777216e7,1.6777216e7,336.0,0.06409209966659546,0.705646276473999,0.7697383761405945,0.005274057388305664,0.7164111733436584,0.7216852307319641
1.6777216e7,1.6777216e7,337.0,0.06604266166687012,0.7041500210762024,0.7701926827430725,0.005960047245025635,0.7145114541053772,0.7204715013504028
